province_id,province_name_en,province_name_zh,year,disposable_income_per_capita,consumption_expenditure_per_capita,natural_growth_rate
beijing,Beijing,北京市,2016,52530,35416,4.12
beijing,Beijing,北京市,2017,57230,37425,3.76
beijing,Beijing,北京市,2018,62361,39843,2.66
beijing,Beijing,北京市,2019,67756,43038,2.63
beijing,Beijing,北京市,2020,69434,38903,1.80
beijing,Beijing,北京市,2021,75002,43640,0.96
beijing,Beijing,北京市,2022,77415,42683,-0.05
beijing,Beijing,北京市,2023,81752,47586,-0.50
beijing,Beijing,北京市,2024,85415,49748,0.01
beijing,Beijing,北京市,2025,,,
tianjin,Tianjin,天津市,2016,34074,26129,1.83
tianjin,Tianjin,天津市,2017,37022,27841,2.60
tianjin,Tianjin,天津市,2018,39506,29903,1.25
tianjin,Tianjin,天津市,2019,42404,31854,1.43
tianjin,Tianjin,天津市,2020,43854,28461,0.07
tianjin,Tianjin,天津市,2021,47449,33188,-0.93
tianjin,Tianjin,天津市,2022,48976,31324,-1.68
tianjin,Tianjin,天津市,2023,51271,34914,-2.57
tianjin,Tianjin,天津市,2024,53581,35804,-1.97
tianjin,Tianjin,天津市,2025,,,
hebei,Hebei,河北省,2016,19725,14247,6.06
hebei,Hebei,河北省,2017,21484,15437,6.60
hebei,Hebei,河北省,2018,23446,16722,4.88
hebei,Hebei,河北省,2019,25665,17987,4.71
hebei,Hebei,河北省,2020,27136,18037,0.94
hebei,Hebei,河北省,2021,29383,19954,-0.43
hebei,Hebei,河北省,2022,30867,20890,-1.71
hebei,Hebei,河北省,2023,32903,22920,-2.79
hebei,Hebei,河北省,2024,34665,24253,-2.32
hebei,Hebei,河北省,2025,,,
shanxi,Shanxi,山西省,2016,19049,12683,4.77
shanxi,Shanxi,山西省,2017,20420,13664,5.61
shanxi,Shanxi,山西省,2018,21990,14810,4.31
shanxi,Shanxi,山西省,2019,23828,15863,3.27
shanxi,Shanxi,山西省,2020,25214,15733,1.24
shanxi,Shanxi,山西省,2021,27426,17191,-0.26
shanxi,Shanxi,山西省,2022,29178,17537,-0.98
shanxi,Shanxi,山西省,2023,30924,19756,-2.25
shanxi,Shanxi,山西省,2024,32441,21090,-1.39
shanxi,Shanxi,山西省,2025,,,
inner_mongolia,Inner Mongolia,内蒙古自治区,2016,24127,18072,3.34
inner_mongolia,Inner Mongolia,内蒙古自治区,2017,26212,18946,3.73
inner_mongolia,Inner Mongolia,内蒙古自治区,2018,28376,19665,2.40
inner_mongolia,Inner Mongolia,内蒙古自治区,2019,30555,20743,2.57
inner_mongolia,Inner Mongolia,内蒙古自治区,2020,31497,19794,-0.10
inner_mongolia,Inner Mongolia,内蒙古自治区,2021,34108,22658,-1.28
inner_mongolia,Inner Mongolia,内蒙古自治区,2022,35921,22298,-2.25
inner_mongolia,Inner Mongolia,内蒙古自治区,2023,38130,27025,-3.42
inner_mongolia,Inner Mongolia,内蒙古自治区,2024,40077,28113,-2.84
inner_mongolia,Inner Mongolia,内蒙古自治区,2025,,,
liaoning,Liaoning,辽宁省,2016,26040,19853,-0.18
liaoning,Liaoning,辽宁省,2017,27835,20463,-0.44
liaoning,Liaoning,辽宁省,2018,29701,21398,-1.00
liaoning,Liaoning,辽宁省,2019,31820,22203,-0.80
liaoning,Liaoning,辽宁省,2020,32738,20672,-3.43
liaoning,Liaoning,辽宁省,2021,35112,23831,-4.18
liaoning,Liaoning,辽宁省,2022,36089,22604,-4.96
liaoning,Liaoning,辽宁省,2023,37992,24865,-5.63
liaoning,Liaoning,辽宁省,2024,39844,25963,-5.30
liaoning,Liaoning,辽宁省,2025,,,
jilin,Jilin,吉林省,2016,19967,14773,-0.05
jilin,Jilin,吉林省,2017,21368,15632,0.26
jilin,Jilin,吉林省,2018,22798,17200,0.36
jilin,Jilin,吉林省,2019,24563,18075,-0.85
jilin,Jilin,吉林省,2020,25751,17318,-2.97
jilin,Jilin,吉林省,2021,27770,19605,-3.38
jilin,Jilin,吉林省,2022,27975,17898,-4.07
jilin,Jilin,吉林省,2023,29797,21411,-5.41
jilin,Jilin,吉林省,2024,31318,23118,-4.85
jilin,Jilin,吉林省,2025,,,
heilongjiang,Heilongjiang,黑龙江省,2016,19838,14446,-0.49
heilongjiang,Heilongjiang,黑龙江省,2017,21206,15577,-0.41
heilongjiang,Heilongjiang,黑龙江省,2018,22726,16994,-0.69
heilongjiang,Heilongjiang,黑龙江省,2019,24254,18111,-1.01
heilongjiang,Heilongjiang,黑龙江省,2020,24902,17056,-4.48
heilongjiang,Heilongjiang,黑龙江省,2021,27159,20636,-5.11
heilongjiang,Heilongjiang,黑龙江省,2022,28346,20412,-5.75
heilongjiang,Heilongjiang,黑龙江省,2023,29694,22052,-6.92
